Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Vertisol,8,Avt,0,13,5.65,4.4,4.83,3.14,31.28,34.42,90.88,5.08,0.18,16.36,1.1,30.15,24.8,23.1
Vertisol,8,Avt,13,70,6.65,4.9,7.75,5.04,36.88,41.92,87.98,1.72,,,0.1,15.73,6,24.4
Vertisol,8,AC,70,100,6.9,5,6.65,4.32,41.28,45.57,90.59,1.1,,,0.01,21.32,4.3,23.5
Vertisol,9,Avt,0,27,5.8,4.35,16.5,10.73,27.68,38.41,72.07,4.87,0.19,14.86,4.75,41.88,27,29.8
Vertisol,9,AvtC,27,50,6.15,4.45,13.65,8.87,29.28,38.15,76.74,2.32,,,6.14,33.72,13.9,27.1
Vertisol,10,Av,0,27,5.7,4.35,8.1,5.27,31.68,36.95,85.75,5.31,0.18,17.11,0.62,30.59,22.3,19
Vertisol,11,Avt,0,17,6.4,4.8,11.85,7.7,40.88,48.58,84.15,5.08,0.18,16.36,3.38,21.26,13.9,25.2
Vertisol,12,Avt,0,40,6.2,4.7,12,7.8,32.08,39.88,80.44,4.29,0.26,9.57,8.69,120.74,29.3,23.2
Vertisol,12,Avt,40,64,6.95,5,7.5,4.88,38.48,43.36,88.76,2.24,,,0.92,13.83,2.8,23.3
Vertisol,12,AvtC,64,110,7.05,5,6.6,4.29,41.28,45.57,90.59,1.17,,,0.69,10.51,2.7,21.7
Vertisol,18,Avt,0,15,6.4,5.15,11.4,7.41,35.68,43.09,82.8,3.67,0.18,11.82,56.07,78.68,13.4,20.1
Vertisol,18,Avt,15,45,6.75,5.3,5.99,3.89,39.88,47.21,84.47,2.78,,,15.32,75.35,7.3,23.2
Vertisol,20,Avt,0,15,5.05,4,11.75,7.64,17.28,24.92,69.35,5.73,0.22,15.1,2.12,18.46,30.3,13.2
Vertisol,20,Avt,15,38,5.7,4.5,7.5,4.88,20.88,25.76,81.07,2.56,,,0.75,18.46,7.4,15.6
Vertisol,20,AvtC,38,54,5.9,4.45,19.9,12.94,23.68,36.62,64.67,1.43,,,0.05,19.65,6.9,16
Vertisol,36,Avt,0,30,5.85,4.8,13.59,8.84,35.28,44.12,79.97,5.4,0.17,18.42,0.11,13.15,22.5,22.8
Vertisol,36,AvtC,30,58,6.35,5,7.34,4.77,35.68,40.45,88.21,1.64,,,0,13.53,10.1,22.9
Vertisol,37,Avt,0,31,5.35,4.3,20.75,13.49,36.48,49.97,73.01,4.05,0.17,13.81,8.32,26.52,45.3,19.6
Vertisol,37,AvtC,31,45,6.45,4.95,9.35,6.08,42.88,48.96,87.59,2.78,,,1.73,11.26,8,21.2
Vertisol,39,Avt,0,27,6.85,5.5,5.06,3.29,42.08,45.37,92.75,4.02,0.15,15.54,0.04,18.72,15.1,14.3
Vertisol,39,bAvt,27,56,6.75,5.7,5.99,3.89,38.08,41.97,90.72,3.01,,,0.41,13.15,5,17.2
Vertisol,39,AvtC,56,102,6.8,5.7,5.05,3.28,30.08,33.36,90.16,2.24,,,0,7.65,4.9,20.6
Vertisol,39,CG,102,115,6.95,5.4,5.19,3.37,40.88,44.25,92.38,0.73,,,1.86,16.68,5.8,18.7
Vertisol,41,Avt,0,30,5.9,5,14.5,9.43,39.68,49.11,80.81,5.59,0.31,10.45,0.14,11.26,42,18.8
Vertisol,41,AvtC,30,100,6.5,5.1,8.85,5.75,39.28,45.03,87.23,3.21,,,0,11.63,6,19.3
Vertisol,55,Avt,0,5,5.55,4.4,17.93,11.66,35.24,46.9,75.14,6.51,0.19,19.87,1.38,42.53,41.2,18.7
Vertisol,55,Avt,5,30,5.95,4.2,12.44,8.09,38.04,46.13,82.47,2.51,,,0.5,24.6,5.9,19.7
Vertisol,55,AvtC,30,45,6.2,4.2,11.25,7.31,40.44,47.75,84.69,1.19,,,0.8,14.89,4.2,19.2
